rt,response,subject,sim_num,r_diff_norm,valence,valence_left,valence_right,rating_left,rating_right,delta_valence,valence_chosen,valence_chosen_int,choice,v_intercept,v_delta_valence,v_r_diff_norm
1915.344715118408,-1.0,study1_191,1,-0.0033557046979865,PosPos,positive,positive,22,14,0,positive,1,0,0.0305481144357809,-0.0092129141132283,1.4761167818406715
1340.696930885315,1.0,study1_191,1,0.0771812080536913,NegNeg,negative,negative,5,9,0,negative,0,1,0.0305481144357809,-0.0092129141132283,1.4761167818406715
2162.96124458313,-1.0,study1_191,1,-0.151006711409396,PosPos,positive,positive,67,37,0,positive,1,0,0.0305481144357809,-0.0092129141132283,1.4761167818406715
1651.117205619812,1.0,study1_191,1,0.312080536912752,PosNeg,negative,positive,2,41,1,positive,1,1,0.0305481144357809,-0.0092129141132283,1.4761167818406715
1379.411339759827,1.0,study1_191,1,0.0369127516778524,NegNeg,negative,negative,26,24,0,negative,0,1,0.0305481144357809,-0.0092129141132283,1.4761167818406715
3117.2778606414795,1.0,study1_191,1,0.338926174496644,NegNeg,negative,negative,17,60,0,negative,0,1,0.0305481144357809,-0.0092129141132283,1.4761167818406715
5034.687519073486,-1.0,study1_191,1,0.204697986577181,PosNeg,positive,negative,52,75,-1,positive,1,0,0.0305481144357809,-0.0092129141132283,1.4761167818406715
1067.4796104431152,-1.0,study1_191,1,0.191275167785235,NegNeg,negative,negative,36,57,0,negative,0,0,0.0305481144357809,-0.0092129141132283,1.4761167818406715
1292.006492614746,-1.0,study1_191,1,0.0771812080536913,PosPos,positive,positive,37,41,0,positive,1,0,0.0305481144357809,-0.0092129141132283,1.4761167818406715
4419.227123260498,1.0,study1_191,1,0.0771812080536913,PosNeg,positive,negative,46,50,-1,negative,0,1,0.0305481144357809,-0.0092129141132283,1.4761167818406715
2932.133436203003,1.0,study1_191,1,-0.157718120805369,PosNeg,positive,negative,67,36,-1,negative,0,1,0.0305481144357809,-0.0092129141132283,1.4761167818406715
1689.366579055786,1.0,study1_191,1,0.0771812080536913,PosPos,positive,positive,60,64,0,positive,1,1,0.0305481144357809,-0.0092129141132283,1.4761167818406715
876.3487339019775,1.0,study1_191,1,0.0503355704697986,PosNeg,negative,positive,18,18,1,positive,1,1,0.0305481144357809,-0.0092129141132283,1.4761167818406715
1845.370531082153,-1.0,study1_191,1,0.0838926174496645,PosPos,positive,positive,50,55,0,positive,1,0,0.0305481144357809,-0.0092129141132283,1.4761167818406715
1641.0367488861084,-1.0,study1_191,1,0.0973154362416108,NegNeg,negative,negative,9,16,0,negative,0,0,0.0305481144357809,-0.0092129141132283,1.4761167818406715
819.9356198310852,-1.0,study1_191,1,-0.11744966442953,PosNeg,positive,negative,69,44,-1,positive,1,0,0.0305481144357809,-0.0092129141132283,1.4761167818406715
2316.1885738372803,1.0,study1_191,1,0.305369127516778,NegNeg,negative,negative,3,41,0,negative,0,1,0.0305481144357809,-0.0092129141132283,1.4761167818406715
1006.3198804855348,-1.0,study1_191,1,-0.412751677852349,PosNeg,positive,negative,80,11,-1,positive,1,0,0.0305481144357809,-0.0092129141132283,1.4761167818406715
2163.5842323303223,-1.0,study1_191,1,0.0906040268456376,PosNeg,positive,negative,11,17,-1,positive,1,0,0.0305481144357809,-0.0092129141132283,1.4761167818406715
1075.0336647033691,-1.0,study1_191,1,-0.379194630872483,PosPos,positive,positive,81,17,0,positive,1,0,0.0305481144357809,-0.0092129141132283,1.4761167818406715
983.2298159599304,-1.0,study1_191,1,0.211409395973154,PosPos,positive,positive,38,62,0,positive,1,0,0.0305481144357809,-0.0092129141132283,1.4761167818406715
1006.5560340881348,-1.0,study1_191,1,-0.379194630872483,NegNeg,negative,negative,75,11,0,negative,0,0,0.0305481144357809,-0.0092129141132283,1.4761167818406715
2317.7642822265625,1.0,study1_191,1,0.271812080536913,PosPos,positive,positive,9,42,0,positive,1,1,0.0305481144357809,-0.0092129141132283,1.4761167818406715
